City Name,Number of agent
None,242
New York,178
San Francisco,173
Boston,85
Chicago,72
Santa Clara,62
Atlanta,60
Los Angeles,58
Houston,53
Dallas,49
Phoenix,39
Troy,35
San Diego,30
Arlington,28
Washington ,27
Fremont,21
Miami,20
Raleigh,20
Toronto,20
Addison,19
Edison,19
Reston,18
Austin,17
Owings Mills,17
Woburn,17
Cincinnati ,14
San Jose,14
Farmington Hills,13
Pittsburgh ,13
Irvine,12
McLean,12
Alpharetta ,11
Denver,11
Philadelphia,11
Matawan,10
Minneapolis,10
Pleasanton ,10
Seattle,10
Duluth,9
Lawrenceville,9
Richmond,9
Worcester,9
Rockville,8
Schaumburg ,8
Wayne,8
Encino,7
Plainsboro ,7
St. Louis,7
Ann Arbor,6
Coral Gables,6
Detroit,6
Flushing,6
Newark,6
Richardson ,6
West Bloomfield ,6
Bloomfield Hills,5
Buena Park ,5
Calabasas Hills ,5
Columbia,5
Columbus,5
Gaithersburg,5
Hamden,5
Omaha,5
Albany,4
Baltimore,4
Brooklyn,4
Charlotte,4
Huntingdon Valley,4
Iselin,4
Jacksonville,4
Palo Alto,4
Silver Spring,4
Southfield ,4
Sugar Land ,4
Suwanee,4
Torrance,4
Westminster,4
Bingham Farms,3
Boca Raton ,3
Buffalo,3
East Brunswick,3
Edina,3
Englewood,3
Fort Lauderdale ,3
Greensboro ,3
Hartford,3
Manalapan,3
Mountain View,3
Norcross,3
San Gabriel,3
Santa Ana,3
South San Francisco,3
Trumbull,3
Vancouver,3
Vienna,3
Boulder,2
Burlington ,2
Centerville,2
Cerritos,2
City of Industry,2
Cleveland,2
Coos Bay,2
Dayton,2
Decatur,2
Doral,2
Dublin,2
Englewood Cliffs,2
Glen Allen ,2
Hackensack ,2
Hagatna,2
Jersey City,2
Kansas City,2
Laurel,2
Lincoln,2
Little Rock,2
Louisville ,2
Nashville,2
Newport Beach,2
Overland Park,2
Pasadena,2
Portland,2
Potomac,2
Ridgewood,2
Royal Oak,2
Saint Paul ,2
Smyrna,2
South Plainfield,2
Spotswood,2
Tallahassee,2
Walnut Creek,2
West Lake Hills ,2
Woodland Hills,2
white plains,2
Alachua,1
Alameda,1
Anchorage,1
Annandale,1
Arcadia,1
Ashburn,1
Aventura,1
Bainbridge Island,1
Bayside,1
Beachwood,1
Bellaire,1
Bellevue,1
Beniciaa,1
Bethesda,1
Bloomington,1
Bridgewater,1
Calabasas,1
Cambridge,1
Chadds Ford,1
Chapel Hill,1
Chula Vista,1
Cleveland Heights,1
Cleveland Hts.,1
Colorado Springs,1
Concord,1
Coral Springs,1
Cranston,1
El Monte,1
Elkins Park,1
Enola,1
Evanston,1
Fairfield,1
Farmington ,1
Fort Worth ,1
Fort lauderdale ,1
Foster City,1
Framingham ,1
Frisco,1
Gibsonia,1
Glen Cove,1
Glendale,1
Glenview,1
Goodyear,1
Grand Rapids,1
Green Bay,1
Greenville ,1
Hacienda Heights,1
Herndon,1
Hilton Head,1
Hoboken,1
Honolulu,1
Huntington Beach,1
Irving,1
Islein,1
Ithaca,1
JJohns Creek,1
Jamestown,1
Jenkintown ,1
La Grange,1
Laguna Hills,1
Lake Oswego,1
Lansdale,1
Maineville ,1
Mansfield,1
Melrose park,1
Menlo Park ,1
Metuchen,1
Milwaukee,1
Monterey,1
Monterey Park,1
Montreal,1
Morton Grove,1
Mount Aukum,1
Norfolk,1
North Kansas City,1
Northbrook ,1
Northfield ,1
Novi,1
Oakland,1
Owing Mills,1
Oxford,1
Pacific Palisades,1
Palm Beach Gardens,1
Paramount,1
Placentia,1
Plano,1
Plantation ,1
Princeton,1
Princeton Junction,1
Rochester Hills ,1
Rockford,1
Rolling Meadows ,1
Roswell,1
Salt Lake City,1
Santa Barbara,1
Santa Monica,1
Sarasota,1
Saratoga,1
Savannah,1
Sherman Oaks,1
So. San Francisco,1
Soutfield,1
South Pasadena,1
Southlake,1
Springfield,1
Staten Island,1
Sunnyvale,1
TAMPA,1
Tampa,1
Tulsa,1
Tuscaloosa ,1
Tysons Corner,1
Union City ,1
Virginia Beach,1
Washingon,1
Westborough,1
Westford,1
Wethersfield,1
Wexford,1
Wilmington ,1
Woodbridge ,1
