agent_firm_name,Occurences
None ,276
"Fragomen, Del Rey, Bernsen & Loewy, LLP",238
Berry Appleman & Leiden LLP0,130
"Fragomen, Del Rey, Bernsen & Loewy LLP ",31
Erickson Immigration Group ,21
"Fragomen, Del Rey, Bernsen, & Loewy, LLP",21
"Ogletree, Deakins, Nash, Smoak & Stewart, P.C.0",20
Pearl Law Group0,20
"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",18
Fakhoury Law Group,17
Murthy Law Firm,17
Ogletree Deakins,17
"Ramineni Law Associates, LLC",17
Seyfarth Shaw LLP ,17
"Morgan, Lewis & Bockius LLP",14
Egan LLP ,13
Tafapolsky and Smith LLP,13
Cohen & Grigsby P.C. 0,10
"Kempster, Corcoran, Quiceno & Lenz-Calvo, LTD0",10
"Law Office of Keshab Raj Seadie, P.C.0",10
"Fragomen, Del Rey, Bernsen & Loewy",9
Jackson & Hertogs LLP ,9
Kramer Levin Naftalis & Frankel LLP,9
"Tadmor & Tadmor, LLP",9
"Dana Michael Ritter, PC",8
Sidley Austin LLP,8
Zulkie Partners LLC,8
Duane Morris LLP,7
Foster LLP,7
Tafapolsky & Smith LLP,7
"Epstein, Becker & Green, P.C.",6
"FosterQuan, LLP ",6
"Goel & Anderson, LLC",6
"Greenberg Traurig, LLP",6
"Pasricha & Patel, LLC ",6
Shah and Kishore,6
The Chugh Firm,6
"VISANOW, P.C.",6
"Alan C. Chen, P.C. ",5
"Fragomen, Del Rey, Bernsen & Loewy, LLP.",5
"Fragomen, Del Rey, Bernsen and Loewy, LLP",5
"Hammond Law Group, LLC",5
"K. K. RASTOGI, ESQ.",5
LAW OFFICE OF RAJAGURU NALLIAH INC.,5
"Law Offices of Amarnath Gowda, LL.B., J.D. ",5
Law Offices of Harvey Shapiro,5
"Siegel, Gross & Tou, P.C.",5
US MANTECH INC. ,5
EY Law LLP,4
Faegre Baker Daniels LLP ,4
"Fragomen, Del Rey, Bernsen, and Loewy LLP",4
"Fragomen, Del Rey, Bernsen, and Loewy, LLP ",4
"Gibney, Anthony & Flaherty, LLP",4
Gokare Law Firm ,4
"Graham Adair, Inc. ",4
Immigration Law Group LLP,4
"Joseph Kallabat & Associates, P.C.",4
"Klasko Immigration Law Partners, LLP ",4
Larrabee Albi Coker LLP,4
Law Office of Samira Recob,4
"Law Office of Thomas V. Allen, PLLC",4
Law Offices of Kevin M. Wilhelmi,4
Law Offices of Rakesh Mehrotra ,4
"Ramirez & Associates, P.C.",4
"Reddy & Neumann, P.C. ",4
"Simin H. Syed, P.C.",4
Simmons & Ungar LLP,4
Stone Grzegorek & Gonzalez LLP ,4
The Law Offices of Morley J. Nair ,4
Weaver Schlenger Mazel LLP,4
"Akula & Associates, P.C. ",3
"Alan E. Heckler, PC",3
BARST MUKAMAL & KLEINER LLP ,3
"Chin & Curtis, LLP ",3
Clark Hill PLC,3
Cowan Miller & Lederman,3
ERICKSON IMMIGRATION GROUP,3
"Fragomen, Del Rey, Bernsen & Lowey, LLP ",3
"Fragomen, Del Rey, Bernsen and Loewy LLP",3
Garfinkel Immigration Law Firm ,3
"Garganigo, Goldsmith & Weiss",3
Global Immigration Partners ,3
Greenberg Traurig LLP ,3
Harry Gee & Associates PLLC ,3
Hunton & Williams LLP ,3
"JA Immigration, Inc.",3
Jackson Lewis PC,3
Ji Law Firm APC ,3
KPMG Law LLP ,3
"Kidambi & Associates, P.C.",3
LAW OFFICES OF GARRET A. LUNGIN,3
Law Offices of David Piver,3
Law Offices of Jim Kahng ,3
"Law Offices of Rajiv S. Khanna, PC",3
Law Offices of Weicheng Wang,3
Littler Mendelson PC,3
Meyer Law Group LLC,3
"Ogletree, Deakins, Nash, Smoak, and Stewart, P.C.",3
PwC Law LLP,3
Taki Law Offices,3
"The Irwin Law Firm, LLC",3
Thompson Coburn LLP,3
"US Mantech, Inc.",3
USA GLOBAL CONSULTING LLC,3
Younossi Law ,3
ANTONIA CANERO P.A. DBA CANERO IMMIGRATION LAW FIRM ,2
Anil Ali P.C.,2
"Antone, Casagrande & Adwers, P.C. ",2
Arnall Golden Gregory LLP,2
Attorney,2
Bay Area Immigration Services,2
"Berry Appleman & Leiden, LLP",2
"Bordeau Immigration Law, LLC",2
Boulette & Golden L.L.P. ,2
Brown Immigration Law PC LLO,2
"Bu Law Group, P.C. ",2
"Caplan and Earnest, LLC",2
"Challa Law Office, PC.",2
"Challa Law Offices, PLC",2
Chronis & Kreher LLP,2
Clement and Hurst PLC ,2
"Cohen & Grigsby, P.C. ",2
Curley Immigration Law PC LLO,2
"David M. Sturman, APC ",2
Davis and Goldfarb PLLC,2
Dinsmore & Shohl LLP,2
Elarbee Thompson,2
"Fan, Fitzpatrick & Thompson, LLP",2
Fennemore Craig PC ,2
"Fragomen, Del Rey, Bernsen, & Loewy",2
"Fragomen, Del Rey, Bersen & Loewy, LLP",2
Gibney Anthony & Flaherty LLP,2
"Global Immigration Associates, P.C.",2
"Global Immigration Partners, Inc. ",2
Goel & Anderson LLC,2
Hammond Law Group LLC ,2
Honigman Miller Schwartz and Cohn LLP,2
"International Legal and Business Services Group, LLP",2
"Irani & Wise, PLC",2
"JMO Firm, PLLC",2
Jackson Lewis LLP,2
Jackson Lewis P.C. ,2
"Jaffe Raitt Heuer & Weiss, P.C.",2
James C.T. Hsia & Associates,2
"Ji Law Firm, APC.",2
"John J. Boudia & Associates, P.L.C.",2
"Karen L. Varela, P.A. ",2
Kuck Immigration Partners LLC,2
"LAW OFFICE OF DANIEL ROEMER,P.C.",2
LAW OFFICE OF STEVEN MARKAN LLC,2
LAW OFFICE OF YUNSUNG CHOI PC,2
Lamboley Law Firm,2
Lamboley Law Firm LLC ,2
Law ,2
Law Office of Daphne L. Wang,2
Law Office of David M Sturman,2
Law Office of David Piver,2
Law Office of Indu Liladhar-Hathi ,2
"Law Office of Leila Freijy, PLLC",2
Law Office of Matthew I. Hirsch,2
"Law Offices of Amarnath Gowda, P.C.",2
Law Offices of Dakshini R. Sen P.C.,2
Law Offices of Gary J. Kim,2
"Law Offices of Hongmee Lee, LLC",2
Law Offices of John and Song,2
"Law Offices of Kamlesh Tewary, P.C.",2
Law Offices of Kavitha Ramasami,2
Law Offices of Marin K. Ritter LLC,2
"Law Offices of Yong Men, P.C.",2
"MONTY & RAMIREZ, LLP",2
MacDonald Hoague & Bayless,2
"Maggio & Kattar, P.C. ",2
"Malik & Popiel, P.C.",2
"Mannam & Associates, LLC ",2
Martin & Associates,2
Masuda Funai Eifert & Mitchell Ltd.,2
"Masuda, Funai, Eifert & Mitchell, Ltd.",2
McCandlish Holton PC,2
"McCandlish Holton, PC ",2
McCown & Evans LLP ,2
Miles & Stockbridge P.C. ,2
Mintz Levin Cohn Ferris Glovsky & Popeo PC ,2
"MusilloUnkenholt, LLC ",2
"Nair Law Group, A Professional Corporation ",2
"New York Technology Partners, Inc.",2
Ogletree Deakins Law Firm,2
"Ogletree, Deakins, Nash, Smoak & Stewart",2
Porter Wright Morris & Arthur LLP ,2
Proskauer Rose LLP ,2
"Puyang & Associates, LLC ",2
"Rai & Associates, Attorneys at Law",2
"Reddy & Neumann, P.C",2
Rifkin & Fox-Isicoff P.A.,2
"Roby Law Associates, PLLC",2
Rose Carson Kaplan Choi & White LLP,2
"Ryu & Ryu, PLC",2
"SMITH, GAMBRELL & RUSSELL, LLP ",2
"Saltzman & Evinch, PLLC",2
"Sam Shihab & Associates, LLC",2
Serotte Law LLC ,2
Seth Law Associates,2
"Sikal & Associates, LLC",2
"Sikal & Associates, LLC. ",2
"Smith, Gambrell & Russell, LLP ",2
Stern & Curray LLC ,2
Stinson Leonard Street LLP,2
"Tocci & Lee, LLC",2
"VAG LAW, LLC ",2
Vercruysse Murray P.C.,2
"Vorys, Sater, Seymour and Pease LLP",2
Whiteman Osterman & Hanna LLP,2
"Zhang & Yan, P.C.",2
ABRAMS AND ABRAMS LLP ,1
"ALG Lawyers, Inc.",1
ANIL ALI PC,1
"ANUPA MUKHOPADHYAY, ESQUIRE ",1
Akanksha Kalra Attorney at Law ,1
Alaska Immigration Law Center,1
Alphen & Santos PC ,1
"Alston & Bird, LLP ",1
Antonia Canero P.A. DBA Canero Immigration Law Firm ,1
Antonini & Cohen Immigration Law Group,1
"Armstrong Law, LLC ",1
"Ashley & Krishnan, PC ",1
"Asif Law Firm, LLC ",1
Associate Attorney ,1
Athena Management & Immigration Services,1
Attorney At Law ,1
Attorney at Law ,1
"BAUMANN, KONDAS and XU, LLC ",1
"BBI LAW GROUP, P.C.",1
BCF LLP,1
BUTZEL LONG PC,1
"Baron & Shelkin, P.C. ",1
Bashyam Spiro & Coats LLP,1
Bay Area Immigration Services Inc.,1
"Bedi & Martinez, Esqs.",1
Behar Law Group ,1
Bell Nunnally & Martin,1
Berry Appleman & Leidman LLP,1
Berry Appleman and Leiden LLP,1
"Berry, Appleman & Leiden LLP",1
Bhagat & Associates,1
"Bhuchar Law, PC ",1
Boulette & Golden LLP ,1
Braverman & Lin ,1
Brew & Associates PC,1
Bryan Cave LLP,1
Burr & Forman LLP,1
"Butzel Long, a professional corporation ",1
"CBI Immigration Law, PC",1
CHUGH LLP (Previously Known as The Chugh Firm),1
CPG Immigration Law Group,1
Chamberlain Hrdlicka White Williams & Aughtry ,1
Chao Law Firm PLLC ,1
Chirayilparambu Law Group P.C. ,1
Cho & Associates,1
Chugh LLP ,1
"Chugh, LLP",1
Chun Fruto Law Corporation,1
Clark Lau LLC,1
Clay Chapman Iwamura Pulice & Nervell,1
"Cohen, Fluhr, GonzÃ¡lez & Pinillos, P.C.",1
