case_received_date,occurrences
17/03/2009,1
10/12/2009,1
15/12/2009,1
08/07/2010,1
26/07/2010,1
03/05/2011,1
27/05/2011,1
06/06/2011,1
02/05/2012,1
08/06/2012,1
27/06/2012,1
19/11/2012,1
11/12/2012,1
10/01/2013,1
14/01/2013,1
16/01/2013,1
18/01/2013,2
19/01/2013,3
21/01/2013,1
23/01/2013,1
25/01/2013,2
07/03/2013,1
27/03/2013,1
01/04/2013,1
02/04/2013,1
03/04/2013,1
04/04/2013,1
05/04/2013,1
06/04/2013,1
18/04/2013,1
25/04/2013,2
26/04/2013,1
01/05/2013,1
02/05/2013,1
06/05/2013,1
10/05/2013,3
14/05/2013,1
15/05/2013,1
17/05/2013,1
20/05/2013,1
29/05/2013,2
30/05/2013,2
04/06/2013,1
06/06/2013,1
07/06/2013,2
08/06/2013,1
10/06/2013,1
12/06/2013,1
24/06/2013,1
26/06/2013,2
27/06/2013,1
28/06/2013,2
02/07/2013,1
08/07/2013,1
09/07/2013,1
18/07/2013,1
23/07/2013,1
01/08/2013,2
05/08/2013,1
07/08/2013,1
12/08/2013,2
13/08/2013,1
26/08/2013,1
05/09/2013,2
10/09/2013,1
11/09/2013,2
17/09/2013,1
18/09/2013,1
21/09/2013,1
23/09/2013,3
25/09/2013,1
26/09/2013,2
30/09/2013,4
18/10/2013,1
21/10/2013,3
23/10/2013,1
24/10/2013,2
25/10/2013,4
02/11/2013,1
04/11/2013,2
05/11/2013,1
08/11/2013,2
11/11/2013,1
12/11/2013,1
14/11/2013,2
15/11/2013,2
18/11/2013,3
19/11/2013,3
20/11/2013,1
22/11/2013,1
26/11/2013,2
27/11/2013,2
03/12/2013,2
06/12/2013,1
10/12/2013,1
11/12/2013,1
12/12/2013,1
13/12/2013,1
16/12/2013,3
18/12/2013,2
19/12/2013,1
20/12/2013,1
23/12/2013,1
24/12/2013,2
26/12/2013,2
27/12/2013,1
03/01/2014,1
08/01/2014,1
09/01/2014,2
16/01/2014,2
17/01/2014,1
21/01/2014,2
22/01/2014,1
23/01/2014,1
27/01/2014,3
29/01/2014,1
30/01/2014,2
06/02/2014,1
10/02/2014,1
11/02/2014,1
20/02/2014,1
21/02/2014,3
26/02/2014,2
27/02/2014,1
04/03/2014,2
10/03/2014,1
11/03/2014,2
12/03/2014,1
18/03/2014,1
20/03/2014,1
26/03/2014,1
01/04/2014,2
03/04/2014,1
07/04/2014,1
09/04/2014,1
21/04/2014,2
24/04/2014,2
25/04/2014,1
28/04/2014,1
01/05/2014,3
05/05/2014,1
06/05/2014,1
07/05/2014,4
08/05/2014,2
09/05/2014,2
12/05/2014,2
13/05/2014,4
14/05/2014,2
15/05/2014,4
16/05/2014,4
18/05/2014,1
19/05/2014,4
20/05/2014,2
21/05/2014,6
22/05/2014,2
23/05/2014,2
27/05/2014,2
28/05/2014,1
29/05/2014,3
30/05/2014,3
31/05/2014,1
03/06/2014,3
04/06/2014,4
05/06/2014,3
06/06/2014,1
10/06/2014,3
11/06/2014,2
12/06/2014,5
13/06/2014,6
16/06/2014,4
17/06/2014,5
18/06/2014,3
19/06/2014,1
20/06/2014,1
23/06/2014,3
24/06/2014,7
25/06/2014,2
26/06/2014,3
27/06/2014,3
