decision_date,occurrences
01/10/2014,3
02/10/2014,5
07/10/2014,3
08/10/2014,1
09/10/2014,4
10/10/2014,1
15/10/2014,3
16/10/2014,3
17/10/2014,1
20/10/2014,4
22/10/2014,3
23/10/2014,4
24/10/2014,3
27/10/2014,6
28/10/2014,3
29/10/2014,2
30/10/2014,3
31/10/2014,2
03/11/2014,2
04/11/2014,2
05/11/2014,1
06/11/2014,4
07/11/2014,3
10/11/2014,3
12/11/2014,3
13/11/2014,3
14/11/2014,3
17/11/2014,3
18/11/2014,2
19/11/2014,2
20/11/2014,3
21/11/2014,5
24/11/2014,3
25/11/2014,3
26/11/2014,1
28/11/2014,1
01/12/2014,2
02/12/2014,1
03/12/2014,2
04/12/2014,5
05/12/2014,6
08/12/2014,2
09/12/2014,4
10/12/2014,3
11/12/2014,2
12/12/2014,6
15/12/2014,2
16/12/2014,2
17/12/2014,1
18/12/2014,2
19/12/2014,2
23/12/2014,2
29/12/2014,5
30/12/2014,4
02/01/2015,2
05/01/2015,1
06/01/2015,5
07/01/2015,5
08/01/2015,2
09/01/2015,1
12/01/2015,3
13/01/2015,3
14/01/2015,3
15/01/2015,5
16/01/2015,1
20/01/2015,5
21/01/2015,5
22/01/2015,4
23/01/2015,2
26/01/2015,5
27/01/2015,2
28/01/2015,4
29/01/2015,3
30/01/2015,5
02/02/2015,2
03/02/2015,1
04/02/2015,6
05/02/2015,3
06/02/2015,2
09/02/2015,5
10/02/2015,1
11/02/2015,2
12/02/2015,1
13/02/2015,1
17/02/2015,4
18/02/2015,2
19/02/2015,5
20/02/2015,5
23/02/2015,2
24/02/2015,1
26/02/2015,3
27/02/2015,2
02/03/2015,4
03/03/2015,1
04/03/2015,5
05/03/2015,4
06/03/2015,1
09/03/2015,3
10/03/2015,6
11/03/2015,2
12/03/2015,3
13/03/2015,2
16/03/2015,3
17/03/2015,3
18/03/2015,3
19/03/2015,4
20/03/2015,4
23/03/2015,2
24/03/2015,9
25/03/2015,2
26/03/2015,5
