employer_city,occurrences
COLLEGE STATION,126
NEW YORK,84
MOUNTAIN VIEW ,57
SANTA CLARA ,54
SAN JOSE0,50
REDMOND ,45
SAN FRANCISCO ,43
HOUSTON ,41
SEATTLE ,39
PLANO ,36
CHICAGO ,34
SUNNYVALE ,29
LOS ANGELES ,26
EDISON,25
PALO ALTO ,25
CUPERTINO ,23
TROY,21
REDWOOD SHORES0,20
DALLAS,19
PHILADELPHIA,19
SAN DIEGO ,19
ATLANTA ,16
IRVING,15
MENLO PARK,14
ALPHARETTA,13
FREMONT ,13
IRVINE,13
AUSTIN,12
BOSTON,11
EAST BRUNSWICK,11
HERNDON ,11
MCLEAN,11
MONTGOMERY,11
PRINCETON ,11
CHARLOTTE 0,10
MADISON 0,10
ISELIN ,9
MILPITAS ,9
PISCATAWAY ,9
PLEASANTON ,9
SOUTHFIELD ,9
BELLEVUE ,8
BRIDGEWATER,8
LOUISVILLE ,8
MIAMI,8
OAKWOOD,8
REDWOOD CITY ,8
RICHMOND ,8
SECAUCUS ,8
TAMPA,8
BROOKLYN ,7
NAPERVILLE ,7
PLAINSBORO ,7
ROSEMONT ,7
SOMERSET ,7
WOBURN ,7
DETROIT,6
DUBLIN ,6
DULUTH ,6
FAIRFIELD,6
FOSTER CITY,6
JACKSONVILLE ,6
JERSEY CITY,6
LAKE FOREST,6
NEWARK ,6
OMAHA,6
RESTON ,6
ROCKVILLE,6
SCHAUMBURG ,6
VERONA ,6
BALTIMORE,5
BENTONVILLE,5
CARLSBAD ,5
CHANTILLY,5
COLUMBIA ,5
ENGLEWOOD,5
FARMINGTON HILLS ,5
HOPKINTON,5
PHOENIX,5
SALT LAKE CITY ,5
SAN ANTONIO,5
WARREN ,5
WESTBOROUGH,5
ALBANY ,4
ARLINGTON HEIGHTS,4
BETHESDA ,4
BETHLEHEM,4
BURBANK,4
CANONSBURG ,4
CERRITOS ,4
CHANDLER ,4
COLUMBUS ,4
FOLSOM ,4
FRAMINGHAM ,4
KING OF PRUSSIA,4
MOON TOWNSHIP,4
NASHUA ,4
NASHVILLE,4
NORTH KANSAS CITY,4
NORTHVILLE ,4
NOVI ,4
ORLANDO,4
RIVERWOODS ,4
ROUND ROCK ,4
RTP,4
SOUTH PLAINFIELD ,4
VIENNA ,4
WASHINGTON ,4
WILMINGTON ,4
WOONSOCKET ,4
ANN ARBOR,3
ARLINGTON,3
AUBURN HILLS ,3
BATON ROUGE,3
BIRMINGHAM ,3
BLOOMINGTON,3
BOISE,3
BREA ,3
CALABASAS,3
CAMBRIDGE,3
CANTON ,3
CARY ,3
COLORADO SPRINGS ,3
CRANBURY ,3
DORAL,3
GAITHERSBURG ,3
GREENSBORO ,3
MILWAUKEE,3
MINNEAPOLIS,3
MURRAY HILL,3
NATICK ,3
NORCROSS ,3
PARLIN ,3
PASADENA ,3
RICHARDSON ,3
ROLLING MEADOWS,3
SAINT LOUIS,3
SAN MATEO,3
SAVANNAH ,3
SOUTH SAN FRANCISCO,3
SPRINGFIELD,3
ST. LOUIS,3
ST. PETERSBURG ,3
STAMFORD ,3
SUNRISE,3
WICHITA,3
WIXOM,3
WORCESTER,3
ACTON,2
ASHBURN,2
BEAVERTON,2
BLUE BELL,2
BROOMFIELD ,2
BUFFALO,2
BURLINGTON ,2
CAMPBELL ,2
CARROLLTON ,2
CARSON ,2
CHERRY HILL,2
CINCINNATI ,2
CLAXTON,2
CLEARWATER ,2
COMMERCE ,2
COPPELL,2
CORONA ,2
DEERFIELD,2
DES PLAINES,2
DULLES ,2
EAST MOLINE,2
EL SEGUNDO ,2
ELLICOTT CITY,2
EMERYVILLE ,2
ERIE ,2
EVANSTON ,2
EXTON,2
FAIRFAX,2
FLUSHING ,2
FORT LAUDERDALE,2
FORT WORTH ,2
FRISCO ,2
GAHANNA,2
GAINESVILLE,2
GERMANTOWN ,2
GOLETA ,2
GREENVILLE ,2
HAGERMAN ,2
HANOVER,2
HAUPPAUGE,2
HAWTHORNE,2
HOBOKEN,2
HOFFMAN ESTATES,2
INDIANAPOLIS ,2
JOHNS CREEK,2
KENT ,2
LA VERNE ,2
LAUREL ,2
LITTLE ROCK,2
LONG BEACH ,2
LONG ISLAND CITY ,2
LOVES PARK ,2
MALVERN,2
MORRISVILLE,2
NEEDHAM,2
NEW ORLEANS,2
NEWTON ,2
NEWTOWN,2
NORTH BRUNSWICK,2
OAK BROOK,2
OKLAHOMA CITY,2
OLATHE ,2
OVERLAND PARK,2
PARSIPPANY ,2
PELLA,2
PLAINVIEW,2
PORTLAND ,2
PROVIDENCE ,2
PURCHASE ,2
RALEIGH,2
SAN CARLOS ,2
SANTA MONICA ,2
SARASOTA ,2
ST. PAUL ,2
STERLING ,2
SUGAR LAND ,2
TACOMA ,2
TALLAHASSEE,2
TULSA,2
TYSONS CORNER,2
WALNUT CREEK ,2
WARSAW ,2
ABERDEEN ,1
AIEA ,1
AKRON,1
ALEXANDRIA ,1
ALLEN,1
ALTOONA,1
AMARILLO ,1
AMHERST,1
ANAHEIM,1
ANCHORAGE,1
ANDOVER,1
APOPKA ,1
ARCADIA,1
ARTESIA,1
ASHEVILLE,1
ASHLAND,1
ASTORIA,1
ATHENS ,1
BANNOCKBURN,1
BARBERTON,1
BARRINGTON ,1
BAY HARBOR ISLANDS ,1
BAYSIDE,1
BEAUMONT ,1
BELMONT,1
BERKELEY ,1
BEVERLY HILLS,1
BIG RAPIDS ,1
BILLERICA,1
BINGHAMTON ,1
BOCA RATON ,1
BOLINGBROOK,1
BOONE,1
BRAINTREE,1
BRISTOL,1
BUENA PARK ,1
BURLINGAME ,1
CAMP HILL,1
CARLE PLACE,1
CARTERET ,1
CHAPEL HILL,1
CHARLOTTESVILLE,1
CHATSWORTH ,1
CHINO,1
CITY OF INDUSTRY ,1
CLINTON TWP,1
COCHRANVILLE ,1
CONROE ,1
CORPUS CHRISTI ,1
COTO DE CAZA ,1
CRESTVIEW HILLS,1
CUMBERLAND ,1
CUMMING,1
CYPRESS,1
DAVIE,1
DAYTON ,1
DEDEDO ,1
DENTON ,1
DENVER ,1
DENVILLE ,1
DERWOOD,1
EAST WINDSOR ,1
EDEN PRAIRIE ,1
EDINBURG ,1
ELK GROVE VILLAGE,1
ELKO ,1
ELON ,1
EVERETT,1
EWING,1
FAIRLESS HILLS ,1
FARMINGTON ,1
FAYETTEVILLE ,1
FLORENCE ,1
FLORHAM PARK ,1
FLOSSMOOR,1
FORT LEE ,1
FORT WASHINGTON,1
GALLUP ,1
GARDEN GROVE ,1
GARDENA,1
GARNER ,1
GLASTONBURY,1
GLEN ALLEN ,1
GLEN COVE,1
GRAND FORKS,1
GRAND RAPIDS ,1
GREEN BAY,1
GREENBELT,1
GREENWICH,1
HACKENSACK ,1
HAMPSHIRE,1
HARBOR CITY,1
HARTFORD ,1
HEMPSTEAD,1
HERCULES ,1
HERMITAGE,1
HIALEAH,1
HIGHLANDS RANCH,1
HILLIARD ,1
HOLLYWOOD,1
HUDSON ,1
HUNTINGTON BEACH ,1
INDEPENDENCE ,1
IPSWICH,1
IRWINDALE,1
ISLANDIA ,1
ITASCA ,1
JAMAICA,1
JAMESBURG,1
JOHNSTON ,1
KENANSVILLE,1
KENNETT SQUARE ,1
KENOSHA,1
KERRVILLE,1
KINSTON,1
KIRKSVILLE ,1
KUTZTOWN ,1
KYLE ,1
LA CROSSE,1
LA JOLLA ,1
LA MIRADA,1
LACEY,1
LAFAYETTE,1
LAKELAND ,1
LANGHORNE,1
LAWRENCEVILLE,1
LEHI ,1
LIBERTY CORNER ,1
LIBERTYVILLE ,1
LITTLE CANADA,1
LIVERMORE,1
LIVONIA,1
LODI ,1
LOMBARD,1
LONGVIEW ,1
LOS GATOS,1
MANALAPAN,1
MANASSAS PARK,1
MANCHESTER ,1
MAPLEWOOD,1
MARIETTA ,1
MARLBOROUGH,1
MARTINEZ ,1
MARYLAND HEIGHTS ,1
MASON,1
MATAWAN,1
MATTHEWS ,1
MEDLEY ,1
MEDWAY ,1
MEMPHIS,1
MENOMONIE,1
MESA ,1
MESQUITE ,1
MIDDLESEX,1
MIDDLETOWN ,1
MIDLAND,1
MIDLOTHIAN ,1
MILFORD,1
MILL VALLEY,1
MISSOULA ,1
MONAHANS ,1
MONMOTH JUNCTION ,1
MONMOUTH JCT ,1
MONROE ,1
MONROVIA ,1
MONTEREY ,1
MONTROSE ,1
MORGAN HILL,1
MORRISTOWN ,1
MORROW ,1
MT. PLEASANT ,1
MT.LAUREL,1
MURFREESBORO ,1
NAPLES ,1
NEW ALBANY ,1
NEW YORK CITY,1
NEWPORT BEACH,1
NEWTOWN SQUARE ,1
NOKOMIS,1
NORFOLK,1
NORMAN ,1
NORTH CHICAGO,1
NORTH HILLS,1
NORTH PROVIDENCE ,1
NORTH READING,1
NUTLEY ,1
NY ,1
O'FALLON ,1
OAKLAND,1
ODESSA ,1
OLD TAPPAN ,1
ORONO,1
OWINGS MILLS ,1
OXFORD ,1
OZONE PARK ,1
PAEONIAN SPRINGS ,1
PALM CITY,1
PALM DESERT,1
PARAMUS,1
PATASKALA,1
PEMBROKE PINES ,1
PEORIA ,1
PITTSBURGH ,1
PLANTATION ,1
PLYMOUTH ,1
PONTIAC,1
PORTSMOUTH ,1
POWAY,1
RANCHO CORDOVA ,1
READING,1
REDONDO BEACH,1
RENTON ,1
REYNOLDSBURG ,1
ROANOKE,1
ROCHELLE PARK,1
ROCHESTER,1
ROSELAND ,1
ROWLAND HEIGHTS,1
SAINT JOSPEH ,1
SALEM,1
SALINA ,1
SAN ANGELO ,1
SAN CLEMENTE ,1
SAN GABRIEL,1
SAN JUAN BAUTISTA,1
SAN LEANDRO,1
SAN RAFAEL ,1
SAN RAMON,1
SANFORD,1
SANTA ANA,1
SANTA FE SPRINGS ,1
SAUSALITO,1
SHAWNEE,1
SHIPROCK ,1
SILVER SPRING,1
SIMI VALLEY,1
SIOUX FALLS,1
SKILLMAN ,1
SOUTH BURLINGTON ,1
SOUTH HOLLAND,1
SOUTH JORDAN ,1
SOUTH RICHMOND HILL,1
SOUTH WINDSOR,1
STAFFORD ,1
STATESBORO ,1
SUWANEE,1
TAMUNING ,1
TEANECK,1
TEMPE,1
THE WOODLANDS,1
THOUSAND OAKS,1
TIBURON,1
TIMONIUM ,1
TORRANCE ,1
TRENTON,1
TUSCALOOSA ,1
UNIONDALE,1
VALENCIA ,1
VALLEJO,1
VAN BUREN TOWNSHIP ,1
VENTURA,1
VERMILLION ,1
VERNON ,1
VINELAND ,1
VIRGINIA BEACH ,1
WAKEFIELD,1
WALNUT ,1
WALTHAM,1
WAUKESHA COURT ,1
WAVERLY,1
WAYNE,1
WAYNESBORO ,1
WELLESLEY,1
WEST CHESTER ,1
WEST CONSHOHOCKEN,1
WEST LAFAYETTE ,1
WEST PALM BEACH,1
WEST WINDSOR ,1
WESTBURY ,1
WESTFORD ,1
WESTMONT ,1
WESTON ,1
WILSON ,1
WILSONVILLE,1
WINONA ,1
WINTER SPRINGS ,1
WOOD DALE,1
WOODBRIDGE ,1
YUBA CITY,1
