employer num employees,occurrences
29000,52
35000,47
60000,39
40000,25
10,23
47756,22
5,19
3,18
9000,18
2,17
46544,17
117300,17
154100,17
6,16
19000,14
92600,14
45,13
200,13
25,12
20,11
23,11
35,11
31000,11
7,10
9,10
55,10
19963,10
22500,10
14,9
42,9
500,9
5000,9
20000,9
27800,9
132000,9
4,8
8,8
15,8
17,8
32,8
37,8
40,8
48,8
1800,8
12000,8
48151,8
66639,8
1,7
12,7
16,7
18,7
22,7
24,7
26,7
28,7
30,7
60,7
75,7
130,7
450,7
700,7
720,7
2500,7
8200,7
11000,7
18500,7
43000,7
53861,7
11,6
19,6
29,6
47,6
77,6
600,6
1200,6
3500,6
6000,6
6500,6
14551,6
15000,6
17000,6
31,5
39,5
46,5
50,5
58,5
68,5
78,5
85,5
101,5
108,5
135,5
220,5
400,5
800,5
900,5
1400,5
4000,5
7185,5
8000,5
10000,5
12493,5
12500,5
12550,5
14000,5
30000,5
100000,5
115000,5
230800,5
36,4
41,4
62,4
65,4
80,4
82,4
86,4
88,4
90,4
100,4
105,4
110,4
121,4
125,4
140,4
190,4
392,4
1100,4
1250,4
2000,4
2199,4
2800,4
3000,4
5300,4
6337,4
7000,4
8500,4
8696,4
8842,4
9454,4
9500,4
13000,4
21000,4
26800,4
57750,4
58000,4
71833,4
1400000,4
13,3
21,3
27,3
38,3
49,3
54,3
57,3
63,3
66,3
67,3
70,3
73,3
74,3
83,3
92,3
94,3
95,3
115,3
120,3
138,3
157,3
167,3
172,3
185,3
230,3
248,3
290,3
382,3
572,3
625,3
650,3
789,3
850,3
1024,3
1227,3
1342,3
1600,3
1750,3
1786,3
5200,3
5500,3
5600,3
7551,3
8414,3
9436,3
9770,3
10389,3
10400,3
11661,3
12300,3
13938,3
14600,3
15324,3
16866,3
18000,3
23000,3
24500,3
25300,3
29280,3
32000,3
45400,3
50000,3
50840,3
54000,3
55000,3
61254,3
61814,3
111300,3
120000,3
217000,3
239000,3
256420,3
270000,3
400000,3
0,2
33,2
34,2
43,2
44,2
52,2
64,2
69,2
72,2
89,2
97,2
102,2
103,2
104,2
114,2
118,2
122,2
134,2
139,2
143,2
150,2
155,2
158,2
160,2
165,2
180,2
182,2
186,2
187,2
