employer_phone,occurrences
(201) 290-9573 ,126
(206) 266-1000  ,39
(650) 253-0000  ,37
(425) 538-3872  ,34
(408) 765-8080    ,32
(469) 229-9400    ,22
(650) 506-7000    ,20
(408) 974-4146  ,16
(858) 651-1440  ,16
(408) 526-4000  ,14
(650) 543-4800  ,14
(214) 840-1464    ,11
(804) 284-1000    ,10
(732) 509-1586     ,9
(408) 376-4952     ,8
(650) 427-5000     ,8
(770) 538-2120     ,8
(201) 872-2200     ,7
(312) 395-5558     ,7
(408) 733-0480     ,7
(415) 901-7000     ,7
(781) 939-1720     ,7
(847) 384-6100     ,7
(908) 219-8050     ,7
(212) 318-2000     ,6
(248) 603-2600     ,6
(408) 349-3300     ,6
(608) 271-9000     ,6
(650) 584-5000     ,6
(312) 732-2655     ,5
(334) 387-1711     ,5
(408) 801-1000     ,5
(425) 705-9061     ,5
(479) 277-1440     ,5
(502) 425-8425     ,5
(508) 435-1000     ,5
(609) 606-9010     ,5
(646) 471-3000     ,5
(646) 855-1847     ,5
(650) 336-3809     ,5
(650) 432-3200     ,5
(908) 604-8080     ,5
(949) 450-8700     ,5
(224) 405-0900     ,4
(401) 770-3511     ,4
(412) 787-9553     ,4
(425) 679-4026     ,4
(508) 253-1789     ,4
(512) 338-4400     ,4
(518) 305-6475     ,4
(732) 321-0921     ,4
(732) 721-3002     ,4
(770) 867-7511     ,4
(813) 552-5000     ,4
(816) 201-1024     ,4
(919) 254-7737     ,4
(972) 925-4244     ,4
(972) 995-2011     ,4
(210) 493-3505     ,3
(212) 686-6655     ,3
(212) 902-1000     ,3
(213) 593-8100     ,3
(248) 876-1000     ,3
(253) 347-5930     ,3
(301) 634-4600     ,3
(302) 255-8000     ,3
(312) 693-0161     ,3
(408) 765-1681     ,3
(410) 396-8885     ,3
(415) 422-1435     ,3
(415) 930-8733     ,3
(508) 647-7000     ,3
(510) 249-2991     ,3
(513) 874-3500     ,3
(586) 215-6753     ,3
(602) 284-9641     ,3
(603) 821-4392     ,3
(608) 827-7884     ,3
(609) 409-6950     ,3
(630) 687-1606     ,3
(650) 225-1000     ,3
(650) 846-5736     ,3
(650) 857-1501     ,3
(650) 944-6000     ,3
(703) 230-2600     ,3
(703) 263-1546     ,3
(713) 556-7406     ,3
(724) 745-7100     ,3
(732) 623-0399     ,3
(760) 918-3874     ,3
(800) 285-3000     ,3
(800) 403-3302     ,3
(908) 582-3042     ,3
(954) 671-5349     ,3
(1800) 538-8450    ,2
(1800) 745-3263    ,2
(208) 368-3156     ,2
(212) 278-6000     ,2
(212) 891-6100     ,2
(224) 212-2000     ,2
(225) 291-1991     ,2
(248) 393-5300     ,2
(248) 504-6870     ,2
(248) 581-1100     ,2
(248) 614-2400     ,2
(248) 614-2500     ,2
(248) 712-6703     ,2
(248) 786-2500     ,2
(267) 759-9000     ,2
(309) 755-0433     ,2
(312) 474-3496     ,2
(313) 665-1211     ,2
(314) 529-3600     ,2
(334) 481-2075     ,2
(408) 346-5101     ,2
(408) 371-1900     ,2
(408) 376-7440     ,2
(408) 501-2200     ,2
(408) 536-5856     ,2
(408) 727-5555     ,2
(408) 743-4415     ,2
(408) 745-2000     ,2
(408) 773-5384     ,2
(410) 865-8500     ,2
(410) 988-5347     ,2
(415) 222-9670     ,2
(415) 814-9837     ,2
(415) 832-2376     ,2
(415) 842-3519     ,2
(508) 616-0099     ,2
(508) 836-2700     ,2
(510) 396-9972     ,2
(510) 661-1488     ,2
(510) 870-3394     ,2
(512) 895-2905     ,2
(573) 882-3211     ,2
(575) 752-3254     ,2
(608) 265-2257     ,2
(608) 661-7608     ,2
(610) 962-0380     ,2
