employer_postal_code,occurrences
77845,126
94043,55
98052,45
98109,34
95052,32
75024,31
94065,24
95014,23
95134,22
95054,19
92121,17
94105,17
19103,14
94025,14
94085,13
94304,13
95110,13
10022,12
8817,12
94089,12
22102,11
48083,11
8540         1,11
8816         1,11
94107,10
75038,9
8830,9
8837,9
8854,9
94103,9
95035,9
10017,8
30566,8
60018,8
8807,8
94304-1320    ,8
94404,8
94538,8
95125,8
1801,7
30005,7
30328,7
48034,7
48084,7
60015,7
60654,7
7094,7
8536,7
8873,7
94588,7
98004,7
10016,6
20170,6
20850,6
30097,6
36108,6
53593,6
60606,6
90010,6
10007,5
1581,5
1748,5
20151,5
21202,5
22182,5
28255,5
40222,5
60173,5
60601,5
60603,5
7059,5
72716-0215    ,5
77002,5
77042,5
92617,5
10001,4
10005,4
10018,4
10019,4
11201,4
15108,4
15317,4
1702,4
19406,4
20171,4
2210,4
27709,4
2895,4
30022,4
3062,4
30620,4
33605,4
36105,4
60045,4
60563,4
60661,4
64117,4
7080,4
75204,4
75243,4
77032,4
78682,4
80112,4
90703,4
92008,4
94063,4
94111,4
94568,4
95131,4
95630,4
10004,3
10013,3
10020,3
10038,3
12203,3
1760,3
19801,3
20166,3
20190,3
20191,3
27511,3
33323,3
33607,3
33716,3
45014,3
48167,3
48187,3
48326,3
48331,3
48335,3
48393,3
53719,3
60008,3
7310,3
75039,3
75093,3
75202,3
77056,3
77077,3
77092-8501    ,3
78232,3
78759,3
7974,3
8512,3
85226,3
8820,3
8859,3
90040,3
90071,3
91302,3
91504,3
92618,3
92821,3
94080,3
94301,3
94539,3
95050,3
10010,2
10012,2
10036,2
10041,2
10118,2
10167,2
10172,2
10282,2
10577,2
11101,2
11354,2
11788,2
11803,2
1720,2
1803,2
18940,2
19104,2
19341,2
19355,2
19422,2
19702,2
20147,2
20814,2
20817,2
20879,2
21042,2
21076,2
2108,2
2110,2
2116,2
2139,2
23238,2
2459,2
27409,2
27560,2
28262,2
28277,2
2905,2
30009,2
30339,2
30346,2
30417,2
32204,2
32256,2
33122,2
33126,2
33172,2
33178,2
33765,2
37203,2
43017,2
43215,2
43230,2
47201,2
47405,2
48075,2
48109-1316    ,2
48226,2
48375,2
50219,2
52556,2
53703,2
53715,2
60004,2
60005,2
60179,2
60523,2
60602,2
60616,2
61111,2
61244,2
63141,2
65211,2
68114,2
6902,2
7030,2
7054,2
70816,2
7102,2
72201,2
75019,2
75034,2
75063,2
75082,2
75201,2
75231,2
76240,2
77040,2
77060,2
77070,2
7747,2
78735,2
80021,2
83716,2
84121,2
88232,2
8852,2
8902,2
90020,2
90021,2
90064,2
90245,2
91101,2
91748,2
91750,2
92612,2
92614,2
92630,2
92880,2
93117,2
94041,2
94070,2
94088-3453    ,2
94566,2
94608,2
95002,2
95008,2
97204,2
98104,2
01003-9313    ,1
08817-4441    ,1
10011,1
10023,1
10025,1
10027,1
10065,1
10105,1
10154,1
10158,1
10176,1
10271,1
10530,1
11105,1
11232,1
11235,1
11237,1
11364,1
11417,1
11419,1
11432,1
11514,1
11542,1
11550,1
11553,1
11590,1
11749,1
12180,1
12206,1
13903,1
14203,1
14222,1
14623,1
15206,1
1608,1
1610,1
1615,1
16509,1
16546,1
16602,1
17011,1
1749,1
1752,1
17547,1
1810,1
1821,1
1864,1
1880,1
1886,1
19007,1
19030,1
19034,1
19047,1
19073,1
19112,1
19130,1
19142,1
19330,1
19348,1
1938,1
19382,1
19428,1
19530,1
19603,1
19713,1
20006,1
20037,1
20057,1
20071,1
20111,1
20129,1
20165,1
20171-6129    ,1
2053,1
20707,1
20723,1
20770,1
20855,1
20876,1
20878,1
20910,1
21044,1
21045,1
21046,1
21093,1
2111,1
21117,1
2142,1
21502,1
2184,1
22031,1
22033,1
22180,1
22201,1
22202,1
22209,1
22310,1
22904,1
22980,1
23005,1
23060,1
23112,1
23219,1
23226,1
23228,1
23230,1
23234,1
23462,1
23529-001     ,1
24012,1
2451,1
2478,1
2481,1
2492,1
2494,1
27244,1
27406,1
27529,1
27599-5240    ,1
27605,1
27615,1
27858,1
27893,1
28105,1
28213,1
28304,1
28349,1
28398,1
28401,1
28501,1
28607,1
28804,1
2904,1
2919,1
29607,1
300,1
30024,1
30041,1
30044,1
30071,1
30092,1
30093,1
30096,1
30260,1
30309,1
30329,1
30338,1
30342,1
30350,1
30460,1
3079,1
31404,1
31407,1
31408,1
32202,1
32216,1
32301,1
32306-4216    ,1
32703,1
32708,1
32773,1
32811,1
32817,1
32826,1
32836,1
33016,1
33021,1
33029,1
33131,1
33133,1
33154,1
33169,1
33186,1
33308,1
33309,1
33317,1
33324,1
33326,1
33405,1
33496,1
33617,1
33811,1
34104,1
34236,1
34240,1
34275,1
34990,1
35226,1
35294-1280    ,1
35487,1
35630,1
35758,1
36109,1
37076,1
37132,1
37209,1
37211,1
37814,1
3801,1
38101,1
38139,1
40202,1
40220,1
40299,1
41017,1
43026,1
43054,1
43062,1
43068,1
44131,1
442030351,1
44242-0001    ,1
44306,1
4469,1
45040,1
45056,1
45150,1
45206,1
45241,1
45469-1660    ,1
45502,1
45701,1
46216,1
46241,1
46582,1
47907,1
48009,1
48038,1
48098,1
48105,1
48111,1
48150,1
48162,1
48168,1
48170,1
48184,1
48207,1
48243,1
48265,1
48265-300     ,1
48342,1
48374,1
48377-2913    ,1
49307,1
49546,1
53140,1
53186,1
53204,1
53209,1
53212,1
53406,1
53562,1
5403,1
54301,1
54538,1
54601,1
54751,1
55102,1
55109,1
55117,1
55144-1000    ,1
55344,1
55413,1
55425,1
55432,1
55455,1
55987,1
57069,1
57104,1
58202-8193    ,1
59812,1
60007,1
60010,1
60016,1
60048,1
60064,1
60140,1
60143,1
60148,1
60191,1
60196,1
60202,1
60208,1
6033,1
6042,1
60422,1
60440,1
60473,1
60540,1
60559,1
60564,1
60565,1
60608,1
60609,1
60631,1
6074,1
6156,1
61606,1
62702,1
62704,1
63043,1
63130,1
63131,1
63164,1
63167,1
63366,1
63379,1
63501,1
64507,1
6457,1
66061,1
66062,1
66210,1
66227-3290    ,1
66251,1
67202,1
67214,1
67277,1
67401,1
68102,1
68137,1
68178,1
68198-5735    ,1
6830,1
68462,1
6901,1
700119,1
7004,1
7008,1
70119,1
7024,1
7068,1
70803,1
7095,1
7096,1
7110,1
73019,1
7302,1
7306,1
73106,1
7311,1
73114,1
74146,1
74172,1
75006,1
75007,1
75013,1
7506,1
75062,1
75074,1
75075,1
75080,1
75149,1
75209,1
75234,1
75252,1
75254,1
7601,1
76104,1
76155,1
76207,1
7644,1
7652,1
7662,1
7666,1
7675,1
76904,1
77008,1
77024,1
77027,1
77029,1
77031,1
77036,1
77043,1
77046,1
77068,1
77073,1
77079,1
77091,1
7726,1
77304,1
77380,1
77469,1
77477,1
77478,1
77479,1
77706,1
78028,1
78212,1
78218,1
7834,1
78401,1
78539,1
78640,1
78717,1
78731,1
78746,1
78750,1
78754,1
78757,1
78758,1
79106,1
7932,1
7938,1
7940,1
79706,1
79756,1
79761,1
8002,1
80026,1
8003,1
80112-5776    ,1
80129,1
80202,1
8054,1
80905,1
80920,1
80921,1
81401,1
8360,1
83702,1
84043,1
84070,1
84095,1
84108,1
84111,1
85008,1
85012,1
85034,1
85035,1
85041,1
8520,1
85204,1
85224,1
85281,1
8550,1
8558,1
8618,1
8638,1
87301,1
87420,1
8831,1
8846,1
89801,1
90005,1
90011,1
90012,1
90014,1
90015,1
90023,1
90058,1
90061,1
90067,1
90089,1
90094,1
90212,1
90248,1
90250,1
90277,1
90401,1
90403,1
90501,1
90621,1
90630,1
90638,1
90670,1
90701,1
90710,1
90745,1
90807-3941    ,1
90810,1
90840,1
91007,1
91016,1
91107,1
91311,1
91320,1
91343,1
91355,1
91505,1
91706,1
91710,1
91776,1
91789,1
92009,1
92037,1
92064,1
92121-3091    ,1
92127,1
92260,1
92647,1
92660,1
92673,1
92679,1
92697,1
92705,1
92806,1
92844,1
93001,1
93065,1
93944,1
94010,1
94086,1
94087,1
94103-4523    ,1
94108,1
94109,1
94306,1
94402,1
94547,1
94550,1
94553,1
94555,1
94560,1
94577,1
94583,1
94591,1
94596,1
94597,1
94606,1
94720,1
94903,1
94920,1
94941,1
94966,1
95032,1
95037,1
95045,1
95119,1
95670,1
95993,1
96701,1
96913,1
96929,1
97005,1
97006,1
97070,1
98007,1
98032,1
98057,1
98101,1
98119,1
98134,1
98204,1
98402,1
98424,1
98503,1
98632,1
99518,1
