case_received_date,decision_date,employer_num_employees,employer_yr_estab,employer_state,foreign_worker_info_education,foreign_worker_info_city
17/03/2009,05/02/2016,75,2001,NEW YORK,Bachelor's,WHITE PLAINS
10/12/2009,03/02/2016,35000,1978,MARYLAND,Master's,SEVERN
15/12/2009,30/01/2015,6324,2005,CALIFORNIA,Master's,LYNDHURST
08/07/2010,20/12/2016,60000,1995,TEXAS,Bachelor's,FORDS
26/07/2010,27/05/2015,1000,1946,TEXAS,Bachelor's,HOUSTON
03/05/2011,14/06/2016,48,1998,CALIFORNIA,Bachelor's,FREMONT
27/05/2011,12/06/2015,45,1800,NEW YORK,Master's,BROOKLYN
06/06/2011,27/03/2015,2531,1981,TEXAS,Bachelor's,PLYMOUTH
02/05/2012,28/10/2015,200,1930,TEXAS,Doctorate,ALLEN
08/06/2012,04/08/2016,31000,1864,MARYLAND,Master's,BALTIMORE
27/06/2012,14/07/2015,2900,1994,TEXAS,Bachelor's,ALHAMBRA
19/11/2012,28/05/2015,22000,1869,NEW YORK,Doctorate,HARRISON
11/12/2012,09/12/2014,2136,2003,NEW JERSEY,Master's,DENVER
10/01/2013,23/03/2015,1741,1994,TEXAS,Bachelor's,STAMFORD
14/01/2013,21/09/2016,17,1981,TEXAS,Bachelor's,SAN BRUNO
16/01/2013,24/03/2015,35000,1994,TEXAS,Bachelor's,CLEVELAND
18/01/2013,23/03/2015,4779,1994,TEXAS,Bachelor's,SINKING SPRING
18/01/2013,26/03/2015,1750,1994,TEXAS,Bachelor's,BENTONVILLE
19/01/2013,24/03/2015,125,1994,TEXAS,Master's,GLENDALE
19/01/2013,24/03/2015,32,1994,TEXAS,Bachelor's,QUINCY
19/01/2013,24/03/2015,88,1994,TEXAS,Bachelor's,WINDSOR LOCKS
21/01/2013,31/03/2015,6500,1994,TEXAS,Bachelor's,OWINGSMILLS
23/01/2013,26/01/2016,217,1983,MASSACHUSETTS,Bachelor's,QUINCY
25/01/2013,14/03/2016,35000,1999,CALIFORNIA,Bachelor's,MIDDLETOWN
25/01/2013,23/06/2015,1292,1981,TEXAS,Master's,HAYWARD
07/03/2013,30/10/2014,73,1869,NEW YORK,Master's,JERSEY CITY
27/03/2013,25/06/2015,39,1994,TEXAS,Bachelor's,KING OF PRUSSIA
01/04/2013,05/12/2014,115000,1997,COLORADO,Master's,SUPERIOR
02/04/2013,20/01/2015,1232,1991,ILLINOIS,Bachelor's,MIAMI
03/04/2013,12/11/2014,24,2005,NEW JERSEY,Master's,IRVING
04/04/2013,17/10/2014,134,1958,GEORGIA,Bachelor's,INCHEON
05/04/2013,02/10/2014,40000,1897,TEXAS,Master's,AUSTIN
06/04/2013,06/04/2015,1690,1987,ALABAMA,Master's,MONTGOMERY
18/04/2013,09/10/2014,55000,2004,MICHIGAN,Master's,RICHMOND
25/04/2013,15/10/2014,41,2002,ARIZONA,Bachelor's,SAN DIEGO
25/04/2013,14/06/2016,19,1864,MARYLAND,Bachelor's,BALTIMORE
26/04/2013,01/10/2014,16,2005,PENNSYLVANIA,Master's,ALLISON PARK
01/05/2013,10/03/2015,7,1998,VIRGINIA,Master's,PLYMOUTH MEETING
02/05/2013,21/11/2014,4000,2002,MASSACHUSETTS,Associate's,SOUTH GRAFTON
06/05/2013,03/12/2014,2672,2003,CALIFORNIA,Master's,SAN JOSE
10/05/2013,19/12/2014,40000,2002,ILLINOIS,Bachelor's,EXTON
10/05/2013,27/01/2015,9,1998,ILLINOIS,Master's,DAVENPORT
10/05/2013,12/12/2014,117300,2001,NEW JERSEY,Master's,ST. LOUIS
14/05/2013,08/12/2014,178000,2002,OHIO,Master's,SEVEN HILLS
15/05/2013,05/12/2014,18500,1838,ILLINOIS,Bachelor's,IRVING
17/05/2013,12/03/2015,231,2004,CALIFORNIA,Master's,SUNNYVALE
20/05/2013,12/12/2014,500,1985,NEBRASKA,Doctorate,SACRAMENTO
