row_ID,add_these_pw_job_title_9089,agent_city,agent_firm_name,agent_state,application_type,case_no,case_number,case_received_date,case_status,class_of_admission,country_of_citizenship,country_of_citzenship,decision_date,employer_address_1,employer_address_2,employer_city,employer_country,employer_decl_info_title,employer_name,employer_num_employees,employer_phone,employer_phone_ext,employer_postal_code,employer_state,employer_yr_estab,foreign_worker_info_alt_edu_experience,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education,binarisation
73110,,Wayne,None,None,,,A-15042-50109,06/03/2015,Certified-Expired,H-1B,CAMEROON,,02/02/2016,2281 Business Highway 34,1125 Risman Dr. Po Box 5190,FAIRFIELD,UNITED STATES OF AMERICA,President & C.O.O.,"Bovard Studio, Inc.",50,(641) 472-2824,,85035,AIZONA,2011,,,BARQUISIMETO,Bachelor's,0
152496,,Ithaca,"Miller Mayer, LLP",NEW YORK,,,A-15322-40801,10/12/2015,Certified,E-2,FRANCE,,16/06/2016,1251 Avenue Of The Americas,None,NEW YORK,UNITED STATES OF AMERICA,"Managing Director, Head Of Americas Hr",NATIXIS NEW YORK BRANCH,476,(212) 891-6100,,85008,AIZONA,1999,,,FREMONT,Bachelor's,0
113915,,Woburn,None,None,,,A-15197-98775,06/08/2015,Certified-Expired,H-1B,INDIA,,16/03/2015,1075 Easton Ave,Suite 143B,SOMERSET,UNITED STATES OF AMERICA,Attorney,NATSOFT CORPORATION,135,(732) 726-0593,,85012,AIZONA,1969,,,PHOENIX,Master's,1
49649,,Arlington,Erickson Immigration Group,CALIFORNIA,,,A-14183-84786,23/07/2014,Certified,F-1,SOUTH KOREA,,09/09/2015,"1324 E. 15Th St., #201",None,LOS ANGELES,UNITED STATES OF AMERICA,President,"NATVAN, INC.",28,(323) 262-8001,8210,85041,AIZONA,1996,,,PHOENIX,Master's,1
320519,,Boston,"Fragomen, Del Rey, Bernsen & Loewy, LLP",CALIFORNIA,,,A-16109-98513,06/05/2016,Certified,H-1B,INDIA,,15/04/2016,8111 Smith'S Mill Road,None,NEW ALBANY,UNITED STATES OF AMERICA,"Vice President, Human Resources","Bob Evans Farms, LLC",46818,(614) 492-7518,,85226,AIZONA,2002,,,PHOENIX,Bachelor's,0
80545,,None,Klasko Immigration Law Partners LLP,MASSACHUSETTS,,,A-14281-14155,12/11/2014,Certified,None,ARGENTINA,,01/11/2016,"1111 Kane Concourse, Suite 217",410,BAY HARBOR ISLANDS,UNITED STATES OF AMERICA,Owner / Managing Member,Blue Road LLC,60,(305) 864-3777,,85226,AIZONA,2002,,,PHOENIX,Bachelor's,0
364415,,"Toronto, On",None,None,,,A-15090-63005,13/04/2015,Certified-Expired,H-1B,TAIWAN,,07/03/2016,440 Terry Ave N,None,SEATTLE,UNITED STATES OF AMERICA,Immigration Specialist,AMAZON CORPORATE LLC,154100,(206) 266-1000,,36108,ALABAMA,2006,A,CHINA,BEIJING,Master's,1
176125,,Matawan,"Fragomen, Del Rey, Bernsen & Loewy, LLP",CONNECTICUT,,,A-15162-85366,30/06/2015,Certified,Not in USA,INDIA,,29/12/2016,101 Wood Avenue South,None,ISELIN,UNITED STATES OF AMERICA,"Senior Vice President, Human Resources","HEXAWARE TECHNOLOGIES, INC.",1200,(609) 409-6950,,35758,ALABAMA,1969,Y,CHINA,CYPRESS,Master's,1
218889,,New York,"Fragomen, Del Rey, Bernsen & Loewy, LLP",FLORIDA,,,A-14216-95048,22/08/2014,Certified-Expired,H-1B,INDIA,,06/02/2015,1 Hacker Way,Ste 401,MENLO PARK,UNITED STATES OF AMERICA,"Manager, Global Mobility, Tax & Immigration","FACEBOOK, INC.",6337,(650) 543-4800,,35226,ALABAMA,2007,A,INDIA,BIRMINGHAM,Associate's,0
364572,,New York,TLA Law,VIRGINIA,,,A-15110-68635,08/05/2015,Certified,H-1B,UKRAINE,,19/05/2016,440 Terry Ave N,None,SEATTLE,UNITED STATES OF AMERICA,Immigration Specialist,AMAZON CORPORATE LLC,154100,(206) 266-1000,,36108,ALABAMA,2006,A,SOUTH KOREA,GOCHANG-GUN,Associate's,0
364720,,Washington,None,None,,,A-15090-63075,13/04/2015,Certified-Expired,H-1B,INDIA,,02/03/2016,300 Riverpark Drive,Suite 102,NORTH READING,UNITED STATES OF AMERICA,Immigration Specialist,"AMAZON ROBOTICS, LLC.",154100,(781) 305-5506,,36108,ALABAMA,2006,A,SOUTH KOREA,GOYANG,High School,0
11417,,Boston,"Fragomen, Del Rey, Bernsen & Loewy, LLP",CALIFORNIA,,,A-14292-17068,20/11/2014,Certified-Expired,H-1B,BRAZIL,,20/11/2014,2321 Industrial Way,(Also Known As 1601 Willow Road),VINELAND,UNITED STATES OF AMERICA,Partner,"AMAZON PRODUCE NETWORK OF CALIFORNIA, LLC",5,(856) 442-0410,,36108,ALABAMA,2006,A,SOUTH KOREA,SEOUL,High School,0
364338,,"Toronto, On, Canada",None,None,,,A-15128-74841,02/06/2015,Withdrawn,H-1B,UKRAINE,,28/09/2015,440 Terry Ave N,None,SEATTLE,UNITED STATES OF AMERICA,Immigration Specialist,AMAZON CORPORATE LLC,154100,(206) 266-1000,,36108,ALABAMA,2006,A,SOUTH KOREA,SEOUL,Master's,1
223457,,None,Attorney,ARIZONA,,,A-14221-96817,03/09/2014,Certified-Expired,L-1,NETHERLANDS,,04/03/2015,1 Hacker Way,None,MENLO PARK,UNITED STATES OF AMERICA,"Manager, Global Mobility, Tax & Immigration","FACEBOOK, INC.",7185,(650) 543-4800,,35294-1280,ALABAMA,1945,A,TAIWAN,HOOVER,Master's,1
358022,,Tampa,None,None,,,A-15131-75365,03/06/2015,Certified,H-1B,SOUTH KOREA,,07/08/2015,440 Terry Ave N,None,SEATTLE,UNITED STATES OF AMERICA,Immigration Specialist,AMAZON CORPORATE LLC,117300,(206) 266-1000,,36109,ALABAMA,1987,A,TAIWAN,MONTGOMERY,Master's,1
172282,,Virginia Beach,None,None,,,A-15173-89886,14/07/2015,Certified-Expired,Not in USA,INDIA,,18/11/2014,1095 Cranbury South River Road,None,JAMESBURG,UNITED STATES OF AMERICA,Sr. Vp - Hr,"HEXAWARE TECHNOLOGIES, INC.",922,(609) 409-6950,,35630,ALABAMA,1930,,,FLORENCE,Master's,1
63744,,Atlanta,Ogletree Deakins,None,,,A-15117-70695,13/05/2015,Certified,H-1B,INDIA,,12/09/2016,2834 South Sherwood Forest Blvd,None,BATON ROUGE,UNITED STATES OF AMERICA,Hr Manager,"INFOSYS SOLUTIONS, INC.",42,(225) 291-1991,,36105,ALABAMA,2005,,,MONTGOMERY,Bachelor's,0
353289,,San Francisco,"Maggio & Kattar, P.C.",NEW YORK,,,A-14230-99007,15/09/2014,Denied,H-1B,INDIA,,27/03/2015,"6100 Tennyson Pkwy, Suite 200",Suite 705,PLANO,UNITED STATES OF AMERICA,Associate Lead - Global Immigration,INFOSYS TECHNOLOGIES LIMITED,113000,(469) 229-9489,,36105,ALABAMA,2010,,,MONTGOMERY,Bachelor's,0
45747,,Hilton Head,"McNair Law Firm, P.A.",NEW YORK,,,A-15209-02638,26/08/2015,Certified-Expired,H-1B,MOROCCO,,10/03/2016,46520 Fremont Blvd,None,FREMONT,UNITED STATES OF AMERICA,Ceo,INFOWAY SOLUTIONS LLC,25,(925) 435-9672,,36105,ALABAMA,2010,,,MONTGOMERY,High School,0
59898,,Cincinnati,"Hammond Law Group, LLC",MARYLAND,,,A-15139-77811,08/06/2015,Certified-Expired,H-1B,INDIA,,03/11/2014,2834 South Sherwood Forest Blvd,Suite 114,BATON ROUGE,UNITED STATES OF AMERICA,Hr Manager,"INFOSYS SOLUTIONS, INC.",37,(225) 291-1991,,36105,ALABAMA,2013,,,MONTGOMERY,High School,0
218919,,Woburn,None,None,,,A-14225-97942,10/09/2014,Certified-Expired,H-1B,INDIA,,20/01/2015,1 Hacker Way,Ste B,MENLO PARK,UNITED STATES OF AMERICA,"Manager, Global Mobility, Tax & Immigration","FACEBOOK, INC.",6337,(650) 543-4800,,35487,ALABAMA,1831,,,TUSCALOOSA,Doctorate,0
265834,,None,McCandlish Holton PC,NEW YORK,,,A-15310-36991,07/12/2015,Certified,H-1B,INDIA,,24/10/2016,6100 Tennyson Parkway,None,PLANO,UNITED STATES OF AMERICA,Senior Lead Â€“ Immigration Practice,INFOSYS LTD.,18500,(469) 229-9400,,36108,ALABAMA,2010,,,"WESTMORELAND, JAMAICA",High School,0
288331,,Chicago,Zulkie Partners LLC,WISCONSIN,,,A-15342-47983,31/12/2015,Certified-Expired,H-1B,INDIA,,01/04/2015,211 Quality Circle,Suite 2200,COLLEGE STATION,UNITED STATES OF AMERICA,Immigration Specialist,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,29000,(201) 290-9573,,99518,ALASKA,1968,A,PALESTINE,ANCHORAGE,Bachelor's,0
