employer num employees,occurrences,employee_frequently
141,1,0 - 10
776,1,0 - 10
791,1,0 - 10
812,1,0 - 10
851,1,0 - 10
854,1,0 - 10
863,1,0 - 10
887,1,0 - 10
908,1,0 - 10
760,1,0 - 10
918,1,0 - 10
950,1,0 - 10
951,1,0 - 10
985,1,0 - 10
1002,1,0 - 10
1020,1,0 - 10
1022,1,0 - 10
1027,1,0 - 10
1030,1,0 - 10
922,1,0 - 10
1050,1,0 - 10
752,1,0 - 10
742,1,0 - 10
614,1,0 - 10
616,1,0 - 10
623,1,0 - 10
624,1,0 - 10
630,1,0 - 10
636,1,0 - 10
648,1,0 - 10
660,1,0 - 10
746,1,0 - 10
682,1,0 - 10
703,1,0 - 10
704,1,0 - 10
711,1,0 - 10
728,1,0 - 10
732,1,0 - 10
734,1,0 - 10
737,1,0 - 10
740,1,0 - 10
694,1,0 - 10
613,1,0 - 10
1072,1,0 - 10
1150,1,0 - 10
1512,1,0 - 10
1574,1,0 - 10
1585,1,0 - 10
1630,1,0 - 10
1660,1,0 - 10
1670,1,0 - 10
1676,1,0 - 10
1690,1,0 - 10
1510,1,0 - 10
1695,1,0 - 10
1730,1,0 - 10
1732,1,0 - 10
1737,1,0 - 10
1740,1,0 - 10
1741,1,0 - 10
1763,1,0 - 10
1799,1,0 - 10
1906,1,0 - 10
1713,1,0 - 10
1110,1,0 - 10
1500,1,0 - 10
1473,1,0 - 10
1177,1,0 - 10
1199,1,0 - 10
1215,1,0 - 10
1232,1,0 - 10
1238,1,0 - 10
1252,1,0 - 10
1254,1,0 - 10
1266,1,0 - 10
1480,1,0 - 10
1292,1,0 - 10
1300,1,0 - 10
1311,1,0 - 10
1350,1,0 - 10
1351,1,0 - 10
1364,1,0 - 10
1395,1,0 - 10
1398,1,0 - 10
1441,1,0 - 10
1295,1,0 - 10
1913,1,0 - 10
596,1,0 - 10
582,1,0 - 10
233,1,0 - 10
243,1,0 - 10
245,1,0 - 10
253,1,0 - 10
254,1,0 - 10
256,1,0 - 10
260,1,0 - 10
267,1,0 - 10
227,1,0 - 10
273,1,0 - 10
276,1,0 - 10
284,1,0 - 10
285,1,0 - 10
295,1,0 - 10
302,1,0 - 10
305,1,0 - 10
312,1,0 - 10
314,1,0 - 10
275,1,0 - 10
320,1,0 - 10
226,1,0 - 10
218,1,0 - 10
145,1,0 - 10
147,1,0 - 10
148,1,0 - 10
149,1,0 - 10
156,1,0 - 10
159,1,0 - 10
162,1,0 - 10
170,1,0 - 10
225,1,0 - 10
171,1,0 - 10
176,1,0 - 10
181,1,0 - 10
188,1,0 - 10
191,1,0 - 10
203,1,0 - 10
205,1,0 - 10
208,1,0 - 10
216,1,0 - 10
175,1,0 - 10
588,1,0 - 10
321,1,0 - 10
327,1,0 - 10
443,1,0 - 10
449,1,0 - 10
459,1,0 - 10
460,1,0 - 10
461,1,0 - 10
464,1,0 - 10
467,1,0 - 10
475,1,0 - 10
439,1,0 - 10
479,1,0 - 10
506,1,0 - 10
519,1,0 - 10
